path,code
ThaiCharacter Dataset/round2/210/bc_008sg_1_169.jpg,210
ThaiCharacter Dataset/round2/210/bc_012sg_2_255.jpg,210
ThaiCharacter Dataset/round2/210/bc_015tg_3_147.jpg,210
ThaiCharacter Dataset/round2/210/bc_015tg_3_201.jpg,210
ThaiCharacter Dataset/round2/210/bc_015tg_4_19.jpg,210
ThaiCharacter Dataset/round2/210/bc_018sg_4_440.jpg,210
ThaiCharacter Dataset/round2/210/bc_020sg_3_444.jpg,210
ThaiCharacter Dataset/round2/210/bc_020tg_3_131.jpg,210
ThaiCharacter Dataset/round2/210/bc_020tg_3_138.jpg,210
ThaiCharacter Dataset/round2/210/bc_020tg_3_150.jpg,210
ThaiCharacter Dataset/round2/210/bc_020tg_3_324.jpg,210
ThaiCharacter Dataset/round2/210/bc_020tg_3_438.jpg,210
ThaiCharacter Dataset/round2/210/bc_020tg_3_447.jpg,210
ThaiCharacter Dataset/round2/210/bc_020tg_3_84.jpg,210
ThaiCharacter Dataset/round2/210/bc_020tg_4_158.jpg,210
ThaiCharacter Dataset/round2/210/bc_020tg_4_24.jpg,210
ThaiCharacter Dataset/round2/210/bc_020tg_4_414.jpg,210
ThaiCharacter Dataset/round2/210/be_001sg_2_109.jpg,210
ThaiCharacter Dataset/round2/210/be_001sg_2_131.jpg,210
ThaiCharacter Dataset/round2/210/be_001sg_2_141.jpg,210
ThaiCharacter Dataset/round2/210/be_001sg_2_182.jpg,210
ThaiCharacter Dataset/round2/210/be_001sg_2_199.jpg,210
ThaiCharacter Dataset/round2/210/be_001sg_2_261.jpg,210
ThaiCharacter Dataset/round2/210/be_001sg_2_343.jpg,210
ThaiCharacter Dataset/round2/210/be_001sg_2_59.jpg,210
ThaiCharacter Dataset/round2/210/be_001sg_2_83.jpg,210
ThaiCharacter Dataset/round2/210/be_001sg_4_20.jpg,210
ThaiCharacter Dataset/round2/210/be_001sg_5_150.jpg,210
ThaiCharacter Dataset/round2/210/be_001sg_5_183.jpg,210
ThaiCharacter Dataset/round2/210/be_001sg_5_199.jpg,210
ThaiCharacter Dataset/round2/210/be_001sg_5_262.jpg,210
ThaiCharacter Dataset/round2/210/be_001sg_5_66.jpg,210
ThaiCharacter Dataset/round2/210/be_001tg_2_109.jpg,210
ThaiCharacter Dataset/round2/210/be_001tg_2_141.jpg,210
ThaiCharacter Dataset/round2/210/be_001tg_2_182.jpg,210
ThaiCharacter Dataset/round2/210/be_001tg_2_199.jpg,210
ThaiCharacter Dataset/round2/210/be_001tg_2_259.jpg,210
ThaiCharacter Dataset/round2/210/be_001tg_2_341.jpg,210
ThaiCharacter Dataset/round2/210/be_001tg_2_59.jpg,210
ThaiCharacter Dataset/round2/210/be_001tg_2_72.jpg,210
ThaiCharacter Dataset/round2/210/be_001tg_2_83.jpg,210
ThaiCharacter Dataset/round2/210/be_001tg_4_2.jpg,210
ThaiCharacter Dataset/round2/210/be_001tg_4_20.jpg,210
ThaiCharacter Dataset/round2/210/be_001tg_5_132.jpg,210
ThaiCharacter Dataset/round2/210/be_001tg_5_150.jpg,210
ThaiCharacter Dataset/round2/210/be_001tg_5_186.jpg,210
ThaiCharacter Dataset/round2/210/be_001tg_5_203.jpg,210
ThaiCharacter Dataset/round2/210/be_001tg_5_269.jpg,210
ThaiCharacter Dataset/round2/210/be_001tg_5_56.jpg,210
ThaiCharacter Dataset/round2/210/be_001tg_5_67.jpg,210
